	6020.SRR12919063	6052.SRR12919052	6049.SRR12919053	6008.SRR12919096	6010.SRR12919077	6011.SRR12919095	5051.SRR12919114	5039.SRR12919102	5003.SRR12919090	5017.SRR12919046	6021.SRR12919069	5026.SRR12919043	6040.SRR12919057	6002.SRR12919143	5048.SRR12919039	6035.SRR12919058	5050.SRR12919079	5010.SRR12919134	6047.SRR12919059	6013.SRR12919075	5052.SRR12919038	6043.SRR12919056	5028.SRR12919145	6026.SRR12919118	6012.SRR12919076	6050.SRR12919065	5012.SRR12919087	6014.SRR12919094	6023.SRR12919119	6042.SRR12919135	6005.SRR12919141	6003.SRR12919142	5021.SRR12919107	6018.SRR12919071	5014.SRR12919148	6016.SRR12919064	5038.SRR12919041	6038.SRR12919136	5019.SRR12919108	6027.SRR12919067	6044.SRR12919112	6037.SRR12919137	6024.SRR12919092	5023.SRR12919146	5047.SRR12919125	5015.SRR12919086	6033.SRR12919060	6029.SRR12919062	5032.SRR12919083	5022.SRR12919044	5030.SRR12919120	5002.SRR12919091	5035.SRR12919105	5016.SRR12919147	5040.SRR12919101	5033.SRR12919144	6019.SRR12919103	5020.SRR12919045	5004.SRR12919051	5044.SRR12919040	5042.SRR12919036	5006.SRR12919049	5029.SRR12919121	5011.SRR12919109	6051.SRR12919074	5024.SRR12919106	5009.SRR12919047	5036.SRR12919104	6004.SRR12919097	5034.SRR12919082	5008.SRR12919088	6039.SRR12919066	6030.SRR12919061	5049.SRR12919098	5018.SRR12919085	6028.SRR12919117	6046.SRR12919054	5037.SRR12919037	5041.SRR12919100	6006.SRR12919140	6041.SRR12919113	6031.SRR12919116	6036.SRR12919138	6048.SRR12919111	6015.SRR12919072	6025.SRR12919081	5013.SRR12919034	6045.SRR12919055	5031.SRR12919042	6034.SRR12919115	5043.SRR12919099	5007.SRR12919089	5005.SRR12919050	6001.SRR12919078	5025.SRR12919084	5046.SRR12919080	6032.SRR12919070	6022.SRR12919068	5001.SRR12919073
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Rummeliibacillus																																												10																																																							
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae																																																														10																									20												
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Asteroleplasma																				7																	5																									5																																					
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Catenibacterium			13																																																349							4																									35				14	25											
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelatoclostridium			2																	2																				69																																																											
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelotrichaceae UCG-003																				14																				44																						99																						14															
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;UCG-004																																								32																						19																									5												
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae												15																																																										3																													
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Bulleidia			373		40		73		10			15						72					213		248				28											14	28				336						18				37		81											39							212											530						6					205		
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-006																																																														7																																					
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-008																																																																		3																																	
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Holdemanella																					12	5																													311											119																					273	14			6	30											
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Solobacterium																																								70																						21				146																					13												
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter																				32																				83						19																63																									15												
Bacteria;Firmicutes;Bacilli;Exiguobacterales;Exiguobacteraceae;Exiguobacterium																																				3																																										58																					
Bacteria;Firmicutes;Bacilli;Lactobacillales				7		6		16							2			1	4	5						247		2										3		3210																				4				2		3	7	56				2		62			16				130			6		1		20			3								
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus		100	154		313		189	38	469		66	272		142				687					8	37	548		440	535	128		1674	123				5			122	88	636		8962	5150	150	2976		24			11		91	178	1002	353	5			705	265	71			362		730	790	533			12		65	488		851						340			121						18	1360			145	73		102
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Eremococcus												81																						291	11					53																			49											8																													
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Facklamia						14						43					4	27		24	33			100										570	36					96			43	26		26							4				6		96	4					150	12	4			22		170						60	254					37				44			7	10							
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Globicatella																								78																23												7													10							226																26											
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopococcus																																																																		8																																	
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella															154												1032																16											752						15							27														93											30			23				
Bacteria;Firmicutes;Bacilli;Lactobacillales;Catellicoccaceae;Catellicoccus																																												13																																																							
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae																																																											2																								2																
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus																				3		137																														92							8										6	815													59											7359					
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	108366	138445	266	120816	50387	201609	25063	125730	87695	80442	88	22953	269359	2449	2516	78504	119643	88166	7794	8250	102289	123588	197	76590	31163	13584	19866	7392	11677		5929	15269	101440	93914	32416	105308	501	64176	5557	3466	1472	61481	7902	128	6747	91765	132488	12492	71854	1632	792	96415	447	1185	319	29435	117	64196	791	21996	4456	59392	5237	6580	17883	128843	2055	109964	19589	14313	134131	13021	18593	7816	4621	83487		48493	89488	86676	10958	99302	366	55349	1560	3504	35576	20620	134242	118375	117289	86335	26391	20550	497	244	355	161724	450
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus																																										52																																																									
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae																																																																																				4															
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc																																																																														69																					
Bacteria;Firmicutes;Bacilli;Lactobacillales;P5D1-392															1042									12		349	1711													5										7	4			2033						206					15		30						93	67			28				131					9						46			25				
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae																																																																		3																																	
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus																																			6									70																																		153																					
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus			64							4		34604	18		141	2477			90	965	3	196		1547		2960	2697			713				357	329	99	38	77		3686			756	78		48	71	42935		6161	40	3226	15	1073	61			8684		5		706	96856		1097	4308	3589	51	126	93640		3912	2281	10027	44		83	280	24934	55	35547	7377	6235	674	2		10	484				2046		4	19			368	
Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae;Mycoplasma			3900		52	3	3524	113	1446		3484	3		43	1166			2188					86		225			2976	3353										95	32509	4986			661	36	2						263		1236	342		6			37	4902		103		171	376		27925	58					395	134											175						87	6777				594		
Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae;Ureaplasma	638		328	18142	270		9	9101	6846	2903	954	1131		13	91	399	852	39	22762	38026	2667	4771		5635	16	115604	2228	212	803			1874	328	1574	3065	2668	161	1943	23	706	299	3936	950	43569		4859	18414	562	20310	8125	492	14033	2049	662	927	5709	11		32	410	297	20138	2622	177	215	2319	546	1207	736	10810	48	507	14014	2012	70		12627	2626	7151	511	2352			28384	134	22	1703	3659	1100	55	550	3129	65	8899	33	20	23		
Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Ammoniibacillus																																		10																																										18																							
Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus																										31				773						3								24			3																		5													54																					
Bacteria;Firmicutes;Bacilli;RF39			9									129						38		4																				13						5					49											68																									41												
Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae;Gemella			3777		234		542				467	92		311				417							483				191										30	260	213			14	247						42		184	1138	1000		190			657		189		230			448	358						146	1425			58	6			74				382						128				155	303		78
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Jeotgalicoccus						66						7																																																																																							
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Nosocomiicoccus						112																																																																																													
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	216	223	2	16	111	72		19	35		14	2954	442			118			4653	96	430	356		641	7	821	9	2	21	108			72	1805	211	491		32		36		8	33	286		52	10	7	83			219				8			98						83	68			34	1361			6			7		504	260		13	119	3860	113	217	13	35	992	23	57	256	771		47	15		17	178	
Bacteria;Firmicutes;Clostridia								3				220						2																						8													2												117	2		6																								55							
Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group			11									63																						40						5											191											195			47																						2					7							
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014					37		3					1522					23	85			33					27									17					11											228			22	3							107				53				77									4					3		24	61				10	123							
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group																																					7			7											8											43																									17												
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1																				28				15																24											25											9		2																							107												
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Sarcina																																								177																																																											
Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae;Fastidiosipila								9	10			81					10			19	74			15										127	9					26			6												18		9		159						83	11	7			90		265							38												17	85			353				
Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae;Mageibacillus			955		966		286	2			77	79		989				682					442		2505				1651					42					7652						1391						1387		287		2232	5	1989		4829		381	9		978			26	26							48					8			599			2746						5		3		1742	5201		475
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae																		5		21	4																			203											470											54																48						7			16					17							
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] eligens group																																								107						5																116																									10					5							
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] fissicatena group																																																			21																																																
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] hallii group																				3																				13											133											79																																					
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] ruminantium group																				21																																																																															
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] ventriosum group																				80																																																																															
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] xylanophilum group																																								27																																																											
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] gauvreauii group																																																			42																																																
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] torques group																																														41																136																						19			36												
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter		19											89							65																				331											25				3							34																						199			97												
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes																																			5					17											164											133																						15			17												
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia													22							38				23																99				12							1130											282																					20	35			44												
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Catonella															7278																																																					6																															
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus													39																											38											260											100																																					
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea						7															8			2																12											109											128																					13																
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter																																								7						17					229											42																					9																
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;GCA-900066575																																																			37																																																
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Howardella							63					67	374					32				8	14		60						192								86	136			4		56			199							49		12	572		253				44		50	3	135						76	173	200			10				11			123		346				62	348		274	59	50		
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Johnsonella																																																																186																																			
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium																2				5																				3											474											41																					6																
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira																																														67					29											228																						24			45												
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae AC2044 group																																																														67																																					
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae FCS020 group																																																			74											22																																					
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae FE2018 group												60																																																					25					4																						37			7				
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae ND3007 group																				8																				50											117											55																					8		7														
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group																				93		2		30																14				70							340		4									266																46						24	7		44												
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001																																																			6											19																																					
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-003																																														47																																																					
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-004																																								32											33																																																
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008																																								11																																																											
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-010																																								12											22																																																
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia																																								16											26											30																																					
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Moryella					73							75						14		33		4												51						20																	218					6			39			30		37							162															13	78			47			6
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium																																								7																																																				7							
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia			10		22								9									6												49						50											936											43																						52			7												
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Shuttleworthia						54	1390	2	233			526						21324		17								5788	20915					60											7805												2342									3																			10	7032										84			
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Tuzzerella																																								4											16																																																
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Tyzzerella																																																			36																																																
Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus																																								18																																															6												
Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group			5									312	4																											104											19											19			9																			27			22					37							
Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;Butyricicoccus																				6																				45											25											19																						3			28												
Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;UCG-008																																																														45								2																													
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae																																								12											2											6																									9												
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter																																																			38																																																
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas																																																			7																																																
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NK4A214 group																																		54						32											29											2																														5							
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter																																																			4																																3																
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002			9																																		2			76				14							259											11																						28	8		19					5							
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-003																																								21											91											5																																					
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-005																																								8											288											72																									28												
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-007																																																			2																																																
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae																																								105											40																																				7												
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;[Eubacterium] siraeum group																				34																				22																						42																		6							13												
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;CAG-352			20																					4																																																																											
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium			29		9								17							31	18			36									5				24	11		751						238					932											1173														34		43					54	139	8		441												
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Fournierella																																																			21																																																
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Incertae Sedis																																																			7																																																
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus			45		3	9						22	47							28				8																128						18					484											99																					10	51			126												
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum													15							33																	9			193				30							683											199														13								42			73												
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;UBA1819																																																			17																																																
Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010			2																																					30											61											45																									45					12							
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae																																																																																							2												
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;Peptococcus					36							75						2																65						38																	143								24																					15						26							
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales																																																				7																																		2						29							
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerococcus	101	24	2305		110	367	73	103	66	60	635	17492	104	352	12	365	39	535	38	742	969	21	369	429	1052	994		2	12		1099	4	152	9282	232	75	2		897	527	11		160	277	8	11	11	751			20	69	35	289	3495		137	125	1093	937	31	733		4	7576	1922	481	338		1294	46	1132		95	42	7		539	4899	174	27	43	391	124	73	949	156	1409	7	4	665	3595	1022		14	1813	35		247
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae												65						5																																																																																	
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] nodatum group												34																																																																																							
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII AD3011 group												54																																																																																							
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII UCG-001																																								6																																																											
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Mogibacterium												8																																							18														9																																		
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;S5-A14a					141			7				138						9		35														65	47					14																									79	11					4								2	7						6		24											
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Ezakiella		16			77	10	11	23			14	557				7	65	70			74	21		97	23	25							39	43	18				11	40	19		114	24									17	7				19		12					686	144				201		27						48	124	38					7	118	20	152			6	484					2		
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Fenollaria		36			680		8	79			21	1716	12	11	14	11	96	402	2	68	200	200			23	39		118	11						54	8			22	102	21		167	54				8			6	52	15	68	51		4		3	7		58			427	175				267						17	3		62	82		4	8	51		368	13	660	13		19	1151		6					
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Finegoldia	135	85		41	257	21		22	72	15	39	2359	173			523	9	222		59	339	114		38	57	458		27	28		204		62	2839	34	471				369			301	13	13		18	150				38	29	13	5			16	118	433	28	27			443	853		9		412	11	19		24	20	108	6	262	3547	215	28	18	21	227	164	80		603		12	306	973	322	41	151		79		
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Gallicola							7					47																					2																										6			5			230																							49				95							
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Helcococcus						217	7		31			36			11					27	120			350	2									1527						38													56				25	3	36	18		4			206	4	2					166		12					108								57	33			64								
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Murdochiella				2	121			4				409					8	7		9	199	10												10																												5			42					64													8	7		6						10							
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Parvimonas			1183		464		77		9		286	122		190	499			499					133		1109			128	359					28					434	379	341			155	403						111		172	418	156		238		207		184	168		391			4	347						141	1735		103	52					279			1323						60	2180			358	562		176
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptoniphilus	38	21			638	48	249	104	25		34	4384	9	161	2	44	62	485		350	483	11	589	92	210	306		37	400				21	678	106	51			237	598	52		227	54	527	4		305	8		67	2	137	21	37		396		748	190	10	96		6	1725	626	15	10		633	7	308		91	2640			70	1367	104		6	187	46	61	890	43	780	4		156	1835	1305		231	824	220	4	297
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae																		102																136																					5																															15													
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Criibacterium								3				532						183										5						37																	124	12																																		43						18							
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Intestinibacter																																								35																						8																									12												
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus	4		497		514		4		4	27	16	1320		27	386			83	461	87		42			168	414		4	23					187						3105	16		3473		6	30		938					99	37	53		587		12	2152			8		93	161	112	4	812	366		3683		304	2318		967		71	53	16		183	4	17	18	8	227	4			349	640	4011	2242	326	79		
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Romboutsia																								7																16											28											144																																					
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Terrisporobacter																				9																				51																						12																																					
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;W5053					5							69			7			14										2																			2																		291					5																						9							
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium													4											47													5									40					286																																				115					12							
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Succiniclasticum												21																																																																																							
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae																																																																				17																															
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Anaerovibrio																																																																																												21							
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Mitsuokella																																																											3																								28					24											
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;Selenomonas																										7									5																3																																									3							
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae		20	894		271		215		484	127	300	246		264				1495	1031	50	28		204		280	60		284	209		1749	137				54			488	157	217		804	389	380	2702		285			58		206	559	674	15	331	346	167	2598	350	128		607		34	388	595		107		1113		126	1592		525		100	425	218		387			457	98	1738			40	241	2553		1841	467	555		187
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Anaeroglobus																																																																																														27					
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister	9		10	4	2371	2	448	18	346		36	980	5	1110	4	5	86	1192		203	85	33	41	44	1663	149		438	2290		193			450	131	79	7		242	237	635		134	34	1430	38		24			480	39	186	35	1290		1786		960	156	294	222		1803	67	95	142	174		293	10			31	900		398		93				412	102		3035		132	7			402	5998	38	1503	504	1566		2385
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Megasphaera	823	2616	333		8196	24	8867		13054	24	158	2378		1685				7805		15			902		9592			2998	2612				336	28	13				6431	57	652		4		3165						501			213	3244	15213	945		3119		2932	171		5459			43	4325							1303			96		3			374			1901						2746	36			2224	2447		45073
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Negativicoccus	5	7			32			14				179						41		7	83	64		20	5									666	6	4																							8						123	22				5								17	94						6	60		169			5	206							
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Veillonella			20021		23					9	18496	2611	15	14	87	12293	92		3	1084	185	81		70		68	49					14314		425	213		665		107	21			5315	28		204	6	7788		1449			2076	3315			429	2265		9423		212	1696		225	787	1302	409		1209		65385	27	9	5	7	4553	221	2645	45	2435					20	7	7202			243	2671	390	157	2896			49	
Bacteria;Firmicutes;Symbiobacteriia;Symbiobacteriales;Caldinitratiruptor																																		29																																																																	
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales																												2																																																																4			6				
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae			2												13																																																																																				
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium			12260					22							35958	78		15								69														189			29		370	124									300		1671						4		5	191	24	143		208				13			1272															312	107	25	16		4		
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia																																												11																		5			4																																		
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia			104203		7949	11	9030	5995	395		46547	2124	16	22822		10	10	4324					16041	393	14650	99	88590	33619	2539					148	28	9	10567	22	133703	17404	36173		237	2933	32827		64	43717		3217	9509		131704	31107	84158	36	34617		59250	56	27013	940	26	45048	51	7	101736	2477	119388	85			99	34385	2377	34	54790	783	39	49		5	27769			22569		87			20	8177	2530	4	8294	74627	51544	36	918
Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Roseisolibacter																																		102																																																																	
Bacteria;Gemmatimonadota;Longimicrobia;Longimicrobiales;Longimicrobiaceae;YC-ZSS-LKJ147																																																																																					3														
Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae																																												19																																																							
Bacteria;Patescibacteria;Gracilibacteria;Absconditabacteriales (SR1)								2				113																																										12								3			9																																		
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales												352						3584							1252				1049					19											1800								986				403		1915			3																								207			5							106			
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae																										23																																													7																												
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae;Candidatus Saccharimonas												141																																																																																							
Bacteria;Proteobacteria		2				2			3			61	74			42						9		217		134		2						42	400	106		44	14				31	585			145	2	9	3	129					43		50	244			38	63		5	3		2	4	27								845		41		17	7			2	12	1408	110	23	2	5							
Bacteria;Proteobacteria;Alphaproteobacteria																								5		9								12	19									17					4										33											20								37		2								32	2			4							
Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseomonas																																												11																																																							
Bacteria;Proteobacteria;Alphaproteobacteria;Azospirillales;Azospirillaceae;Niveispirillum																																																																														26																					
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas																																				21											4		15																													55														10							
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium																										21																																																											2														
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae																4																																																																														2					
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Bosea																				2														35																	15																											12																					
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Pseudochelatococcus																																																														3																																					
