	5025.SRR12919592	6008.SRR12919531	6019.SRR12919571	5031.SRR12919543	6012.SRR12919530	5022.SRR12919612	5016.SRR12919570	5034.SRR12919504	5047.SRR12919585	5046.SRR12919586	5038.SRR12919610	5040.SRR12919539	6044.SRR12919509	6004.SRR12919580	6023.SRR12919527	6050.SRR12919557	5026.SRR12919591	5009.SRR12919554	5033.SRR12919589	6037.SRR12919565	6046.SRR12919561	5005.SRR12919596	6035.SRR12919514	6040.SRR12919513	6036.SRR12919566	6026.SRR12919524	5051.SRR12919535	5021.SRR12919606	6024.SRR12919525	5052.SRR12919534	5036.SRR12919602	5017.SRR12919550	5014.SRR12919552	6014.SRR12919529	5013.SRR12919613	6006.SRR12919578	6043.SRR12919510	6005.SRR12919579	5024.SRR12919526	6022.SRR12919568	5037.SRR12919601	6039.SRR12919563	6020.SRR12919569	6030.SRR12919520	6052.SRR12919556	6033.SRR12919517	6045.SRR12919562	5004.SRR12919597	5002.SRR12919599	5039.SRR12919604	6031.SRR12919519	6013.SRR12919575	5010.SRR12919494	5035.SRR12919603	5007.SRR12919594	5003.SRR12919598	6025.SRR12919567	5008.SRR12919555	5050.SRR12919583	6034.SRR12919516	6002.SRR12919533	6048.SRR12919508	6029.SRR12919521	6032.SRR12919518	5018.SRR12919549	5032.SRR12919515	5015.SRR12919551	5029.SRR12919605	6003.SRR12919532	5012.SRR12919614	5020.SRR12919559	6021.SRR12919528	6011.SRR12919576	5043.SRR12919609	6041.SRR12919512	5041.SRR12919538	6049.SRR12919558	6015.SRR12919574	5030.SRR12919544	5042.SRR12919593	5028.SRR12919590	5011.SRR12919607	6018.SRR12919572	6027.SRR12919523	6028.SRR12919522	6001.SRR12919582	5001.SRR12919600	5019.SRR12919547	5006.SRR12919595	6010.SRR12919577	5049.SRR12919536	6038.SRR12919564	6016.SRR12919573	5048.SRR12919584	5023.SRR12919611	6042.SRR12919511	6047.SRR12919560
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptoniphilus			3							8												16																										2																	24																																
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus	18		4																		3								26													53																							16																			24		4					7						
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales																																															7																1																																		
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae			3						1				2																2							3											3																2	2	3																	2								1							
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister																																				6																					7																																								
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Megasphaera			3						4																		18	2			4				6										3								6		8						5																			4							19			13							
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Negativicoccus																																																																																			2														
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Veillonella	7					3		3			4										12		12															17				29																		2			11								7	14			3		27																		9		
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales					1						1							1																																																				2		2																		3							
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae																																																																																														2			
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium			3																								43																																																		63																	282			
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae										1			1					1																																													3		6																																
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia	55		94		65	33			173	430	646	301	192	232	11		3	266	186	64	107						65		2		2			156	2													180		32				742	12		70						352	310	164				27	436		139					80		37	173	5	331		109				308	26	51	459				88		
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;Sneathia amnii														3																																																		1								2																			2						
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;Sneathia sanguinegens											3																																																																									1													
Bacteria;Myxococcota;Polyangia;Polyangiales;Polyangiaceae;Pajaroellobacter																											629																																																																						
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales																																																4					10																																												
Bacteria;Proteobacteria	1150	12968	1758	1990	693	8127	31097	114	207	2879	4168	1384	3393	1303	2346	50410	9051	2658	2755	163	1580	3212	60	6635	5886	7401	9379	13094	5510	8586	5263	3273	2441	1041	9678	2498	19671	2570	11807	15593	19440	1793	383	11969	935	20757	5845	24572	1393	13266	1616	7462	1067	12468	19756	300	1582	5120	7712	22229	7741	6672	74	596	298	4720	11003	2155	704	5762	6109	1346	4133	1759	451	4357	1627	10050	3052	219	10005	8807	11378	1006	857	4340	3457	8759	8351	5759	43187	10392	18532	1274	4836	6832	5726
